Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,Polestar 2,2021,Polestar Automotive USA,Electric,233.0,92.0,,Automatic,
Sedan/Wagon,Polestar I,2021,Polestar Automotive USA,Plug-in Hybrid Electric,52.0,58.0,26.0,Automatic,2.0L
SUV,Cayenne e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,46.0,21.0,Automatic,3.0L 
SUV,Cayenne e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,17.0,46.0,21.0,Automatic,3.0L 
SUV,Cayenne Turbo S e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,15.0,42.0,18.0,Automatic,4.0L
SUV,Cayenne Turbo S e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,15.0,42.0,18.0,Automatic,4.0L
Sedan/Wagon,Panamera 4 E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4 E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4 E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,52.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera 4S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,50.0,22.0,Automatic,2.9L
Sedan/Wagon,Panamera Turbo S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Panamera Turbo S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Panamera Turbo S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,17.0,48.0,19.0,Automatic,4.0L
Sedan/Wagon,Taycan 4S Perf Battery,2021,Porsche,Electric,199.0,79.0,,Automatic,194 and 280 kW electric motors
Sedan/Wagon,Taycan 4S Perf Battery Plus,2021,Porsche,Electric,227.0,77.0,,Automatic,210 and 250 kW electric motors
Sedan/Wagon,Taycan Perf Battery,2021,Porsche,Electric,200.0,79.0,,Automatic,240 kW electric motor
Sedan/Wagon,Taycan Perf Battery Plus,2021,Porsche,Electric,225.0,75.0,,Automatic,280 kW electric motor
Sedan/Wagon,Taycan Turbo,2021,Porsche,Electric,212.0,73.0,,Automatic,
Sedan/Wagon,Taycan Turbo S,2021,Porsche,Electric,201.0,70.0,,Automatic,
Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,22.0,Automatic,3.6L
Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,21.0,Automatic,3.6L
Pickup,1500 HFE 4X2,2021,Ram,Hybrid Electric,,,23.0,Automatic,3.6L
SUV,Crosstrek Hybrid AWD,2021,Subaru,Plug-in Hybrid Electric,17.0,90.0,35.0,Automatic,2.0L
Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,Electric,353.0,134.0,,Automatic,131 and 190 kW electric motors
Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,Electric,315.0,113.0,,Automatic,131 and 190 kW electric motors
Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,Electric,263.0,142.0,,Automatic,198 kW electric motor
Sedan/Wagon,Model S Long Range,2021,Tesla,Electric,405.0,120.0,,Automatic,179 kW and 186 kW electric motor
Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,Electric,387.0,110.0,,Automatic,149 kW and 276 kW electric motor
Sedan/Wagon,"Model S Plaid (21"" Wheels)",2021,Tesla,Electric,348.0,101.0,,Automatic,250 kW electric motors (X3)
SUV,Model X Long Range Plus,2021,Tesla,Electric,371.0,105.0,,Automatic,180 and 189 kW electric motor
SUV,"Model X Performance (20"" Wheels)",2021,Tesla,Electric,341.0,97.0,,Automatic,151 and 273 kW electric motors
SUV,Model Y Long Range AWD,2021,Tesla,Electric,326.0,125.0,,Automatic,69 and 201 kW electric motors
SUV,Model Y Performance AWD,2021,Tesla,Electric,303.0,111.0,,Automatic,133 and 179 kW electric motors
SUV,Model Y Standard Range RWD,2021,Tesla,Electric,244.0,129.0,,Automatic,209 kW electric motor
Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,,,43.0,Automatic,2.5L
Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid LE,2021,Toyota,Hybrid Electric,,,52.0,Automatic,2.5L
Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2021,Toyota,Hybrid Electric,,,46.0,Automatic,2.5L
Sedan/Wagon,Corolla Hybrid,2021,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
SUV,Highlander Hybrid,2021,Toyota,Hybrid Electric,,,36.0,Automatic,2.5L
SUV,Highlander Hybrid AWD,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
SUV,Highlander Hybrid AWD LTD/PLAT,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
Sedan/Wagon,Mirai Limited,2021,Toyota,Hydrogen Fuel Cell,,65.0,,Automatic,134 kW electric motor
Sedan/Wagon,Mirai XLE,2021,Toyota,Hydrogen Fuel Cell,,72.0,,Automatic,134 kW electric motor
Sedan/Wagon,Prius,2021,Toyota,Hybrid Electric,,,52.0,Automatic,1.8L
Sedan/Wagon,Prius AWD,2021,Toyota,Hybrid Electric,,,49.0,Automatic,1.8L
Sedan/Wagon,Prius Eco,2021,Toyota,Hybrid Electric,,,56.0,Automatic,1.8L
Sedan/Wagon,Prius Prime,2021,Toyota,Plug-in Hybrid Electric,25.0,133.0,54.0,Automatic,1.8L
SUV,RAV4 Hybrid AWD,2021,Toyota,Hybrid Electric,,,40.0,Automatic,2.5L
Sedan/Wagon,RAV4 Prime AWD,2021,Toyota,Plug-in Hybrid Electric,42.0,94.0,38.0,Automatic,2.5L
Van,Sienna,2021,Toyota,Hybrid Electric,,,36.0,Automatic,2.5L
Van,Sienna AWD,2021,Toyota,Hybrid Electric,,,35.0,Automatic,2.5L
SUV,Venza AWD,2021,Toyota,Hybrid Electric,,,39.0,Automatic,2.5L
SUV,ID.4 1st,2021,Volkswagen,Electric,250.0,97.0,,Automatic,150 kW electric motor
SUV,ID.4 AWD Pro,2021,Volkswagen,Electric,249.0,97.0,,Automatic,80 and 150 kW electric motors
SUV,ID.4 Pro,2021,Volkswagen,Electric,260.0,99.0,,Automatic,150 kW electric motor
SUV,ID.4 Pro S,2021,Volkswagen,Electric,250.0,97.0,,Automatic,150 kW electric motor
SUV,ID.4 Pro S AWD ,2021,Volkswagen,Electric,240.0,93.0,,Automatic,80 and 150 kW electric motors
Sedan/Wagon,S60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
Sedan/Wagon,S90 AWD,2021,Volvo,Plug-in Hybrid Electric,21.0,60.0,30.0,Automatic,2.0L
SUV,V60 AWD,2021,Volvo,Plug-in Hybrid Electric,22.0,69.0,30.0,Automatic,2.0L
SUV,XC40 Recharge,2021,Volvo,Electric,208.0,79.0,,Automatic,
SUV,XC60 AWD,2021,Volvo,Plug-in Hybrid Electric,19.0,57.0,27.0,Automatic,2.0L
SUV,XC90 AWD,2021,Volvo,Plug-in Hybrid Electric,18.0,55.0,27.0,Automatic,2.0L
